startdate,stopdate,monsters
08-13-2025,08-18-2025,"Rare Periscorp"
08-14-2025,08-18-2025,"Rare Kayna,Rare Toe Jammer,Rare Potbelly,Rare Theremind,Rare Bonkers,Rare Yuggler,Rare Poppette,Rare Oaktopus,Rare Phangler,Rare Flowah,Rare Rooba,Rare Tapricorn,Rare Rootitoot,Rare Gloptic"
08-27-2025,09-03-2025,"Rare Potbelly,Rare Mammott,Rare Noggin,Rare Toe Jammer,Rare Furcorn,Rare Oaktopus,Rare Shrubb,Rare Maw,Rare Drumpler,Rare Fwog,Rare T-Rox,Rare Bowgart,Rare Clamble,Rare Pummel,Rare Entbrat,Rare Theremind,Rare Fluoress,Rare Floot Fly,Rare Clackula,Rare Cahoot,Rare Xyster,Rare Osstax,Rare Roarick,Rare Knucklehead,Rare Déjà-Jin,Rare Larvaluss,Rare Mushaboom,Rare G'day,Rare Frondley,Rare G'joob,Rare Strombonin,Rare Yawstrich,Rare Anglow,Rare Hyehehe,Rare Buzzinga,Rare Cherubble,Rare Bleatnik,Rare Cranchee,Rare Sporerow,Rare Pinghound,Rare Wheezel,Rare Knurv,Rare shLep,Rare Ghazt"
09-03-2025,09-10-2025,"Rare Potbelly,Rare Tweedle,Rare Mammott,Rare Toe Jammer,Rare Oaktopus,Rare Furcorn,Rare Dandidoo,Rare Pango,Rare Quibble,Rare Maw,Rare Bowgart,Rare Spunge,Rare Congle,Rare Thumpies,Rare Deedge,Rare Grumpyre,Rare Strombonin,Rare Kayna,Rare Glowl,Rare Phangler,Rare Boskus,Rare Woolabee,Rare Whaddle,Rare Wynq,Rare Sneyser,Rare Cherubble,Rare Fluoress,Rare Flowah,Rare Fiddlement,Rare TooToo,Rare Sooza,Rare Spytrap,Rare Blow't,Rare Pluckbill,Rare Bulbo,Rare Gob"
09-10-2025,09-17-2025,"Rare Noggin,Rare Tweedle,Rare Mammott,Rare Toe Jammer,Rare Cybop,Rare Quibble,Rare Pango,Rare Fwog,Rare Drumpler,Rare Maw,Rare Congle,Rare T-Rox,Rare PomPom,Rare Scups,Rare Riff,Rare Yawstrich,Rare Grumpyre,Rare Kayna,Rare Theremind,Rare Bonkers,Rare Yuggler,Rare Poppette,Rare Phangler,Rare Flowah,Rare Rooba,Rare Tapricorn,Rare Rootitoot,Rare Gloptic,Rare Ghazt,Rare Reebro,Rare Jeeode,Rare Humbug,Rare Whisp,Rare Arackulele,Rare Dragong,Rare Fung Pray,Rare Sox,Rare Nebulob,Rare Jellbilly,Rare Bellowfish,Rare Boodoo,Rare Kazilleon"
08-27-2025,09-03-2025,"Epic Potbelly,Epic Mammott,Epic Noggin,Epic Toe Jammer,Epic Furcorn,Epic Oaktopus,Epic Shrubb,Epic Maw,Epic Drumpler,Epic Fwog,Epic T-Rox,Epic Bowgart,Epic Clamble,Epic Pummel,Epic Entbrat,Epic G'joob,Epic Strombonin,Epic Yawstrich,Epic Anglow,Epic Hyehehe,Epic Buzzinga,Epic Cherubble,Epic Ghazt"
09-03-2025,09-10-2025,"Epic Potbelly,Epic Tweedle,Epic Mammott,Epic Toe Jammer,Epic Oaktopus,Epic Furcorn,Epic Dandidoo,Epic Pango,Epic Quibble,Epic Maw,Epic Bowgart,Epic Spunge,Epic Congle,Epic Thumpies,Epic Deedge,Epic Grumpyre,Epic Strombonin,Epic Kayna,Epic Glowl,Epic Phangler,Epic Boskus,Epic Woolabee,Epic Whaddle,Epic Wynq,Epic Sneyser,Epic Cherubble,Epic Flowah,Epic Sooza,Epic Yelmut,Epic Tiawa"
09-10-2025,09-17-2025,"Epic Noggin,Epic Tweedle,Epic Mammott,Epic Toe Jammer,Epic Cybop,Epic Quibble,Epic Pango,Epic Fwog,Epic Drumpler,Epic Maw,Epic Congle,Epic T-Rox,Epic PomPom,Epic Scups,Epic Riff,Epic Yawstrich,Epic Grumpyre,Epic Kayna,Epic Phangler,Epic Flowah,Epic Rootitoot,Epic Ghazt,Epic Reebro,Epic Jeeode,Epic Humbug,Epic Whisp,Epic Arackulele,Epic Dragong,Epic Fung Pray,Epic Sox,Epic Nebulob,Epic Jellbilly,Epic Bellowfish,Epic Boodoo,Epic Kazilleon,Epic Bisonorus,Epic Edamimi"
08-06-2025,08-15-2025,"Epic Bisonorus"
08-06-2025,08-13-2025,"Epic Drumpler,Epic Pummel,Epic Clamble,Epic T-Rox,Epic Shellbeat,Epic Repatillo,Epic Ziggurab,Epic PongPing"
08-14-2025,08-18-2025,"Epic Toe Jammer,Epic Potbelly,Epic Kayna,Epic Oaktopus,Epic Flowah,Epic Phangler,Epic Rootitoot"
08-06-2025,08-11-2025,"Rare Cahoot"
08-07-2025,08-14-2025,"Rare Floot Fly,Rare Whimmzies,Rare HippityHop,Rare Squot,Rare Cantorell,Rare Clavi Gnat,Rare Bridg-it,Rare Pladdie,Rare Déjà-Jin,Rare Osstax,Rare Knucklehead,Rare Larvaluss,Rare Frondley,Rare Mushaboom"
08-07-2025,08-11-2025,"Rare Boo'qwurm"
08-06-2025,08-18-2025,"Boo'qwurm"
08-14-2025,08-18-2025,"Epic Boo'qwurm"
08-14-2025,08-18-2025,"Schmoochle,Rare Schmoochle,Epic Schmoochle"
08-28-2025,09-02-2025,"Punkleton,Rare Punkleton,Epic Punkleton,Carillong,Rare Carillong,Epic Carillong"
09-03-2025,09-08-2025,"Rare Jam Boree,Epic Jam Boree"
09-04-2025,09-08-2025,"Yool,Rare Yool,Epic Yool,Spurrit,Rare Spurrit,Epic Spurrit,Whiz-bang,Rare Whiz-bang,Epic Whiz-bang"
09-11-2025,09-15-2025,"Schmoochle,Rare Schmoochle,Epic Schmoochle,Monculus,Rare Monculus,Epic Monculus,Boo'qwurm,Rare Boo'qwurm,Epic Boo'qwurm"